"","sector","country","value"
"1","C01","AUS",0.00885945287570748
"2","C02","AUS",0.000134029417851178
"3","C03","AUS",0.0010574324634652
"4","C04","AUS",0.00647600224853702
"5","C05","AUS",0.0309468517977005
"6","C06","AUS",0.00773619623542167
"7","C07","AUS",0.00035830503166459
"8","C08","AUS",0.00146755729530101
"9","C09","AUS",0.000679621091580872
"10","C10","AUS",0.00878481662185995
"11","C11","AUS",0.00447830314447127
"12","C12","AUS",0.00752423035745765
"13","C13","AUS",0.00307045476954684
"14","C14","AUS",0.000818945919130503
"15","C15","AUS",0.00156051759801202
"16","C16","AUS",0.00430773635546902
"17","C17","AUS",0.0131393200519191
"18","C18","AUS",0.00492807929173379
"19","C19","AUS",0.0113441746551634
"20","C20","AUS",0.0202522289754162
"21","C21","AUS",0.0068896214246075
"22","C22","AUS",0.00548257817247577
"23","C23","AUS",0.0111692599801134
"24","C24","AUS",0.00584066287320495
"25","C25","AUS",0.000730488754874179
"26","C26","AUS",0.166819015956948
"27","C27","AUS",0.00568295298577215
"28","C28","AUS",0.0394631882351038
"29","C29","AUS",0.0605170421754906
"30","C30","AUS",0.0154618258152441
"31","C31","AUS",0.00190402311099587
"32","C32","AUS",0.000618110150944594
"33","C33","AUS",0.0115104525157017
"34","C34","AUS",0.000879994981717081
"35","C35","AUS",0.0427753723679235
"36","C36","AUS",0.00368119294432762
"37","C37","AUS",0.00547306368181791
"38","C38","AUS",0.0109766857172187
"39","C39","AUS",0.011518169656173
"40","C40","AUS",0.0232530740350475
"41","C41","AUS",0.0281541221624849
"42","C42","AUS",0.119022092847589
"43","C43","AUS",0.0201265214395854
"44","C44","AUS",0.000134777765417837
"45","C45","AUS",3.07950615945855e-05
"46","C46","AUS",0.00666787896624224
"47","C47","AUS",0.0785350955345251
"48","C48","AUS",0.058125016561636
"49","C49","AUS",0.0916485214952428
"50","C50","AUS",0.0289841464325691
"51","C01","AUT",0.00639721672847505
"52","C02","AUT",0.00136704353375328
"53","C03","AUT",0.000153712096986779
"54","C04","AUT",0.00115493040125156
"55","C05","AUT",0.0337285015589413
"56","C06","AUT",0.0153100650555115
"57","C07","AUT",0.00467448625019157
"58","C08","AUT",0.00128176003314483
"59","C09","AUT",0.000409829746364497
"60","C10","AUT",0.00914489669131411
"61","C11","AUT",0.00538071828968256
"62","C12","AUT",0.00863904611481203
"63","C13","AUT",0.0037890424895577
"64","C14","AUT",0.00337690782183842
"65","C15","AUT",0.00232961490848636
"66","C16","AUT",0.00648858316674251
"67","C17","AUT",0.0133755007275189
"68","C18","AUT",0.0115853611984551
"69","C19","AUT",0.0301411856291463
"70","C20","AUT",0.0246089368909638
"71","C21","AUT",0.00377473478075271
"72","C22","AUT",0.0147491375109648
"73","C23","AUT",0.0142288345800987
"74","C24","AUT",6.47784789607589e-05
"75","C25","AUT",0.000668956120945268
"76","C26","AUT",0.0908735186691557
"77","C27","AUT",0.0182046215636427
"78","C28","AUT",0.0374384962332173
"79","C29","AUT",0.0672889469609978
"80","C30","AUT",0.0227579810799109
"81","C31","AUT",0.000289052526222312
"82","C32","AUT",0.00511753736949861
"83","C33","AUT",0.0105509819182882
"84","C34","AUT",0.00118776300311829
"85","C35","AUT",0.0667361784849737
"86","C36","AUT",0.00404390381427769
"87","C37","AUT",0.00408550119675492
"88","C38","AUT",0.00822440022587757
"89","C39","AUT",0.0154408040028853
"90","C40","AUT",0.0087628545784589
"91","C41","AUT",0.0161038835766151
"92","C42","AUT",0.0946409338766335
"93","C43","AUT",0.00416942277842731
"94","C44","AUT",0.010144635144741
"95","C45","AUT",0.00637044900760674
"96","C46","AUT",0.0164900021994967
"97","C47","AUT",0.0736096619457015
"98","C48","AUT",0.0628367356345897
"99","C49","AUT",0.100580058356343
"100","C50","AUT",0.0372278950477067
"101","C01","BEL",0.00666909454909214
"102","C02","BEL",0.000297047656472467
"103","C03","BEL",0.000350217582032056
"104","C04","BEL",0.000335471982334782
"105","C05","BEL",0.0374009198420951
"106","C06","BEL",0.00967529486666161
"107","C07","BEL",0.00106800849967703
"108","C08","BEL",0.0013221235982268
"109","C09","BEL",0.000395189358193273
"110","C10","BEL",0.0116288429824987
"111","C11","BEL",0.00584096205029335
"112","C12","BEL",0.0103205129453175
"113","C13","BEL",0.00236169546903222
"114","C14","BEL",0.00202897610635974
"115","C15","BEL",0.00107986181642665
"116","C16","BEL",0.00960010452526569
"117","C17","BEL",0.0116085882431384
"118","C18","BEL",0.00659351880970317
"119","C19","BEL",0.017333410025209
"120","C20","BEL",0.0240153645524594
"121","C21","BEL",0.00481918866716132
"122","C22","BEL",0.00908278912529788
"123","C23","BEL",0.0186122071541966
"124","C24","BEL",0.00348809132451034
"125","C25","BEL",0.00714598469685547
"126","C26","BEL",0.105777363725394
"127","C27","BEL",0.0135495266119322
"128","C28","BEL",0.0651656827068724
"129","C29","BEL",0.0349453423075327
"130","C30","BEL",0.0128508310910256
"131","C31","BEL",0.000199009120665965
"132","C32","BEL",0.00199595533203605
"133","C33","BEL",0.0177947035404032
"134","C34","BEL",0.000673572671199496
"135","C35","BEL",0.0309756319277079
"136","C36","BEL",0.00565844342045143
"137","C37","BEL",0.00491364875107323
"138","C38","BEL",0.0109749052841517
"139","C39","BEL",0.0119660611664376
"140","C40","BEL",0.0157009999141347
"141","C41","BEL",0.0203917225543176
"142","C42","BEL",0.0876851890428137
"143","C43","BEL",0.00340502373924772
"144","C44","BEL",0.00571279956451896
"145","C45","BEL",0.00976809777267132
"146","C46","BEL",0.0173492178608582
"147","C47","BEL",0.0965150345112425
"148","C48","BEL",0.0739403807280916
"149","C49","BEL",0.115406166865292
"150","C50","BEL",0.0336112233614127
"151","C01","BGR",0.0348240579231257
"152","C02","BGR",0.00267989473376822
"153","C03","BGR",0.000822702630862424
"154","C04","BGR",0.00108876226481062
"155","C05","BGR",0.0949223283333237
"156","C06","BGR",0.0180142452404319
"157","C07","BGR",0.00291216887438495
"158","C08","BGR",0.0029640343680863
"159","C09","BGR",0.00108704685081529
"160","C10","BGR",0.0242519656653805
"161","C11","BGR",0.00850767703648011
"162","C12","BGR",0.0194630763719041
"163","C13","BGR",0.00627298818759976
"164","C14","BGR",0.00684364885119446
"165","C15","BGR",0.00171474022056595
"166","C16","BGR",0.0109347973150706
"167","C17","BGR",0.021714796202888
"168","C18","BGR",0.0140272529226378
"169","C19","BGR",0.0421239748086645
"170","C20","BGR",0.0244661474417991
"171","C21","BGR",0.00497683815054004
"172","C22","BGR",0.0147302869538713
"173","C23","BGR",0.0220246669873276
"174","C24","BGR",0.0053040245807723
"175","C25","BGR",0.00276402455004911
"176","C26","BGR",0.101835882893084
"177","C27","BGR",0.0137948940999121
"178","C28","BGR",0.0285783967804814
"179","C29","BGR",0.0124842003160597
"180","C30","BGR",0.0334129947059966
"181","C31","BGR",0.000924292755512823
"182","C32","BGR",0.00682598979771498
"183","C33","BGR",0.00972715280429755
"184","C34","BGR",0.00327125130376852
"185","C35","BGR",0.0421268993426895
"186","C36","BGR",0.00371502842046739
"187","C37","BGR",0.00610556255034554
"188","C38","BGR",0.0227696313720075
"189","C39","BGR",0.00652328641404094
"190","C40","BGR",0.0077007170096476
"191","C41","BGR",0.00375404934830488
"192","C42","BGR",0.0790781785356934
"193","C43","BGR",0.00236165281267462
"194","C44","BGR",0.00498580372527423
"195","C45","BGR",0.00572925244689049
"196","C46","BGR",0.0162701790721624
"197","C47","BGR",0.081953480798122
"198","C48","BGR",0.0433357778473891
"199","C49","BGR",0.0432500321933323
"200","C50","BGR",0.0300492651877859
"201","C01","BRA",0.0193049058923096
"202","C02","BRA",0.00182047093946511
"203","C03","BRA",0.00111828709725218
"204","C04","BRA",0.00336287444201469
"205","C05","BRA",0.0641555182354928
"206","C06","BRA",0.0220012435869781
"207","C07","BRA",0.000469371245704876
"208","C08","BRA",0.00212631726905777
"209","C09","BRA",0.000281513860014804
"210","C10","BRA",0.0190222214148981
"211","C11","BRA",0.0153499090058913
"212","C12","BRA",0.00883386295577753
"213","C13","BRA",0.00324995329698558
"214","C14","BRA",0.000754189132863121
"215","C15","BRA",0.00140739270337898
"216","C16","BRA",0.00449706646811872
"217","C17","BRA",0.018745673727404
"218","C18","BRA",0.008586076383408
"219","C19","BRA",0.0193454224737621
"220","C20","BRA",0.0386278983207873
"221","C21","BRA",0.00751356728667434
"222","C22","BRA",0.0100191580542057
"223","C23","BRA",0.0109123631014472
"224","C24","BRA",0.00400128245470539
"225","C25","BRA",8.15525966164598e-06
"226","C26","BRA",0.105541050732605
"227","C27","BRA",0.0154200429893949
"228","C28","BRA",0.0314876060605424
"229","C29","BRA",0.0456499634604623
"230","C30","BRA",0.0220284547869572
"231","C31","BRA",0.000459362235921462
"232","C32","BRA",0.00189646715786253
"233","C33","BRA",0.00428144968562626
"234","C34","BRA",1.43387903576984e-05
"235","C35","BRA",0.0349242825291753
"236","C36","BRA",0.00237303486140517
"237","C37","BRA",0.000321837761690621
"238","C38","BRA",0.0179424440207043
"239","C39","BRA",0.00959174951248335
"240","C40","BRA",0.0448938835293697
"241","C41","BRA",3.71558540768479e-05
"242","C42","BRA",0.076429876423961
"243","C43","BRA",0.00238509646804924
"244","C44","BRA",0.00576621713601042
"245","C45","BRA",0.000196402882370868
"246","C46","BRA",0.00766310574902106
"247","C47","BRA",0.123253628382294
"248","C48","BRA",0.0648076951867444
"249","C49","BRA",0.0587875040671399
"250","C50","BRA",0.0383326551275101
"251","C01","CAN",0.0069082571254974
"252","C02","CAN",0.00189210391264859
"253","C03","CAN",0.00119622960452581
"254","C04","CAN",0.00631763967738231
"255","C05","CAN",0.0421065406618621
"256","C06","CAN",0.0121040809553329
"257","C07","CAN",0.000566127322921756
"258","C08","CAN",0.00238358313920448
"259","C09","CAN",0.00172293855644323
"260","C10","CAN",0.013380851227705
"261","C11","CAN",0.00161700963629029
"262","C12","CAN",0.00711715452245666
"263","C13","CAN",0.00277662763049923
"264","C14","CAN",0.000821509077865383
"265","C15","CAN",0.000730604589006308
"266","C16","CAN",0.00303833389183893
"267","C17","CAN",0.0141317606689952
"268","C18","CAN",0.0050543991818266
"269","C19","CAN",0.0145939171765581
"270","C20","CAN",0.0262595087738977
"271","C21","CAN",0.0112559026838993
"272","C22","CAN",0.0146580786272451
"273","C23","CAN",0.0120670564978163
"274","C24","CAN",2.56502899502551e-06
"275","C25","CAN",0.00102606851040871
"276","C26","CAN",0.140874411048895
"277","C27","CAN",0.0128966945275974
"278","C28","CAN",0.0338879272044051
"279","C29","CAN",0.0466202271595375
"280","C30","CAN",0.00932068802396313
"281","C31","CAN",0.000472885736762736
"282","C32","CAN",0.0061659917694574
