"","country","sector","value"
"1","AUS","C01",58731.3010847559
"2","AUS","C02",2330.57464951964
"3","AUS","C03",2809.05614070687
"4","AUS","C04",62951.7501085101
"5","AUS","C05",80166.312104008
"6","AUS","C06",20657.9936490202
"7","AUS","C07",10494.6855654592
"8","AUS","C08",10096.2434157242
"9","AUS","C09",7729.57681821849
"10","AUS","C10",45010.9156059173
"11","AUS","C11",27596.8029698655
"12","AUS","C12",15564.9914798744
"13","AUS","C13",18804.4219056673
"14","AUS","C14",20218.7778423477
"15","AUS","C15",26748.7127552463
"16","AUS","C16",31374.0432173963
"17","AUS","C17",33309.9248181082
"18","AUS","C18",17835.0167067647
"19","AUS","C19",31243.5537382942
"20","AUS","C20",39937.1393238608
"21","AUS","C21",16310.5660648467
"22","AUS","C22",11076.1572419219
"23","AUS","C23",58872.3613200931
"24","AUS","C24",16460.4204398245
"25","AUS","C25",4334.43559897873
"26","AUS","C26",393408.6165651
"27","AUS","C27",16413.5775303916
"28","AUS","C28",111634.121683812
"29","AUS","C29",103451.473805281
"30","AUS","C30",51193.719281357
"31","AUS","C31",7062.69826140625
"32","AUS","C32",30978.5508024558
"33","AUS","C33",48206.4958915862
"34","AUS","C34",11061.9485253158
"35","AUS","C35",77173.2610589891
"36","AUS","C36",12904.0643698972
"37","AUS","C37",17598.5280468141
"38","AUS","C38",47911.769150477
"39","AUS","C39",50095.0872305738
"40","AUS","C40",111583.803677233
"41","AUS","C41",87993.0441977109
"42","AUS","C42",234299.481619297
"43","AUS","C43",141976.787674823
"44","AUS","C44",389.410630159457
"45","AUS","C45",77.5240778195758
"46","AUS","C46",97945.3995597572
"47","AUS","C47",126769.597274608
"48","AUS","C48",85732.9203538795
"49","AUS","C49",130856.918299058
"50","AUS","C50",67765.549302356
"51","AUT","C01",10862.160378893
"52","AUT","C02",3956.86764804642
"53","AUT","C03",122.75256961969
"54","AUT","C04",12172.7549036191
"55","AUT","C05",24733.4115259815
"56","AUT","C06",8161.14953061182
"57","AUT","C07",7634.67672011058
"58","AUT","C08",5703.93819362667
"59","AUT","C09",2558.1389506289
"60","AUT","C10",10219.4340886721
"61","AUT","C11",18012.2745948211
"62","AUT","C12",6540.16123618744
"63","AUT","C13",8019.05391302199
"64","AUT","C14",8009.13963392708
"65","AUT","C15",16565.6279260787
"66","AUT","C16",15957.5816802299
"67","AUT","C17",9441.44658142952
"68","AUT","C18",10822.2214556712
"69","AUT","C19",28017.7898593525
"70","AUT","C20",17181.4306361552
"71","AUT","C21",3033.54620873583
"72","AUT","C22",7781.7305321857
"73","AUT","C23",26213.4056812992
"74","AUT","C24",1378.73481407386
"75","AUT","C25",10005.4220213728
"76","AUT","C26",63071.8274737333
"77","AUT","C27",11105.9807032496
"78","AUT","C28",36935.6669404644
"79","AUT","C29",29882.6999028026
"80","AUT","C30",21165.3409253561
"81","AUT","C31",1477.89787989995
"82","AUT","C32",5059.98611413502
"83","AUT","C33",13520.8133707571
"84","AUT","C34",3238.48301469463
"85","AUT","C35",31394.999504419
"86","AUT","C36",4075.39710227702
"87","AUT","C37",4236.50615301236
"88","AUT","C38",7792.25438906289
"89","AUT","C39",13456.8957374441
"90","AUT","C40",21298.1930951524
"91","AUT","C41",13062.8433145356
"92","AUT","C42",57808.9402991095
"93","AUT","C43",20587.8344567636
"94","AUT","C44",17665.6926219041
"95","AUT","C45",2794.39150841937
"96","AUT","C46",26569.1056313834
"97","AUT","C47",30848.414637216
"98","AUT","C48",25500.3798320074
"99","AUT","C49",40035.6204887193
"100","AUT","C50",17319.8909841784
"101","BEL","C01",16174.6724429172
"102","BEL","C02",670.578458991129
"103","BEL","C03",386.908782283666
"104","BEL","C04",13617.6132649064
"105","BEL","C05",42018.1122415375
"106","BEL","C06",7566.88333766337
"107","BEL","C07",3953.44624242255
"108","BEL","C08",6299.76392665649
"109","BEL","C09",4044.75497400036
"110","BEL","C10",28477.7158725859
"111","BEL","C11",33016.0554291686
"112","BEL","C12",12724.9122947229
"113","BEL","C13",7760.57567139718
"114","BEL","C14",8423.04720646388
"115","BEL","C15",17563.7403615639
"116","BEL","C16",14571.7087634253
"117","BEL","C17",10546.8647978753
"118","BEL","C18",7113.70864280547
"119","BEL","C19",18696.9371757559
"120","BEL","C20",21432.0610305945
"121","BEL","C21",3539.35131125991
"122","BEL","C22",6366.58275740224
"123","BEL","C23",27717.7218127234
"124","BEL","C24",3237.21211170379
"125","BEL","C25",16648.3513006194
"126","BEL","C26",89501.8318837305
"127","BEL","C27",11055.3367739432
"128","BEL","C28",62696.6986620273
"129","BEL","C29",28151.2694721277
"130","BEL","C30",26127.6408672876
"131","BEL","C31",2039.17409020383
"132","BEL","C32",8918.24188977981
"133","BEL","C33",30520.9695071299
"134","BEL","C34",5076.75606931054
"135","BEL","C35",23415.3230063251
"136","BEL","C36",6604.63631798144
"137","BEL","C37",5906.18361258819
"138","BEL","C38",15373.8757669667
"139","BEL","C39",17807.6793575263
"140","BEL","C40",30396.7907218206
"141","BEL","C41",24546.4114234693
"142","BEL","C42",60389.3004157999
"143","BEL","C43",62497.7225537715
"144","BEL","C44",22091.1268887545
"145","BEL","C45",5745.95312460311
"146","BEL","C46",41253.4554495069
"147","BEL","C47",51392.3616289051
"148","BEL","C48",38912.7338379177
"149","BEL","C49",61668.4812503006
"150","BEL","C50",23849.8705774849
"151","BGR","C01",4565.52489945742
"152","BGR","C02",454.170159986563
"153","BGR","C03",70.4112458999925
"154","BGR","C04",7567.70498609533
"155","BGR","C05",7113.29811659691
"156","BGR","C06",2646.11288640841
"157","BGR","C07",546.161957152426
"158","BGR","C08",933.692580259184
"159","BGR","C09",481.043310116401
"160","BGR","C10",4676.84838534258
"161","BGR","C11",2909.27976296353
"162","BGR","C12",1271.85413608137
"163","BGR","C13",1830.51636952804
"164","BGR","C14",1466.9381955061
"165","BGR","C15",3484.07016799877
"166","BGR","C16",2097.7850405158
"167","BGR","C17",1893.30923399693
"168","BGR","C18",1489.11970126896
"169","BGR","C19",3150.20327599598
"170","BGR","C20",1886.18946169832
"171","BGR","C21",457.807902499947
"172","BGR","C22",1021.63160941098
"173","BGR","C23",4355.0165707829
"174","BGR","C24",407.579520091887
"175","BGR","C25",544.117116609278
"176","BGR","C26",10163.5682411357
"177","BGR","C27",1192.88443315569
"178","BGR","C28",6373.77645825594
"179","BGR","C29",3227.29287009287
"180","BGR","C30",5036.61689971557
"181","BGR","C31",967.360933772581
"182","BGR","C32",484.794761768888
"183","BGR","C33",1910.13431847983
"184","BGR","C34",407.416460033705
