"","origin","destination","sector","value"
"1","AUS","AUS","C01",1
"2","AUS","AUT","C01",1.00017767347395
"3","AUS","BEL","C01",1.00063731729984
"4","AUS","BGR","C01",1.00019706698134
"5","AUS","BRA","C01",1.00141563475132
"6","AUS","CAN","C01",1.00091315001249
"7","AUS","CHE","C01",1.00985313892365
"8","AUS","CHN","C01",1.00823930263519
"9","AUS","CYP","C01",1.04246561050415
"10","AUS","CZE","C01",1.03798009872437
"11","AUS","DEU","C01",1.00723012447357
"12","AUS","DNK","C01",1.00026887558401
"13","AUS","ESP","C01",1.00493838638067
"14","AUS","EST","C01",1
"15","AUS","FIN","C01",1.00053075499833
"16","AUS","FRA","C01",1.0042011025548
"17","AUS","GBR","C01",1.00393010258675
"18","AUS","GRC","C01",1.02260860443115
"19","AUS","HRV","C01",1.00237321481109
"20","AUS","HUN","C01",1.00310865670443
"21","AUS","IDN","C01",1
"22","AUS","IND","C01",1.0013820579648
"23","AUS","IRL","C01",1.00013908324763
"24","AUS","ITA","C01",1.00503694415092
"25","AUS","JPN","C01",1.00183360025287
"26","AUS","KOR","C01",1.03034884691238
"27","AUS","LTU","C01",1.00558986127376
"28","AUS","LUX","C01",1.00293399989605
"29","AUS","LVA","C01",1
"30","AUS","MEX","C01",1.00008620710112
"31","AUS","MLT","C01",1.00293399989605
"32","AUS","NLD","C01",1.00009774166159
"33","AUS","NOR","C01",1
"34","AUS","POL","C01",1.00712363481522
"35","AUS","PRT","C01",1
"36","AUS","ROU","C01",1
"37","AUS","ROW","C01",1.00353848775182
"38","AUS","RUS","C01",1.00088684380054
"39","AUS","SVK","C01",1
"40","AUS","SVN","C01",1.01179495215416
"41","AUS","SWE","C01",1.00173636987805
"42","AUS","TUR","C01",1.02503434181213
"43","AUS","TWN","C01",1.00128625631332
"44","AUS","USA","C01",1
"45","AUS","AUS","C02",1
"46","AUS","AUT","C02",1.00027558781207
"47","AUS","BEL","C02",1.00256009697914
"48","AUS","BGR","C02",1.00447007656098
"49","AUS","BRA","C02",1.00044072054327
"50","AUS","CAN","C02",1.00477704226971
"51","AUS","CHE","C02",1.01874831676483
"52","AUS","CHN","C02",1.01206467151642
"53","AUS","CYP","C02",1.05000000476837
"54","AUS","CZE","C02",1.04565237522125
"55","AUS","DEU","C02",1.00772252976894
"56","AUS","DNK","C02",1.00056923039258
"57","AUS","ESP","C02",1.00618638932705
"58","AUS","EST","C02",1
"59","AUS","FIN","C02",1.00196646347642
"60","AUS","FRA","C02",1.00727026820183
"61","AUS","GBR","C02",1.00873589336872
"62","AUS","GRC","C02",1.02660182714462
"63","AUS","HRV","C02",1.02380302667618
"64","AUS","HUN","C02",1.003600512743
"65","AUS","IDN","C02",1
"66","AUS","IND","C02",1.003756095469
"67","AUS","IRL","C02",1.00311153680086
"68","AUS","ITA","C02",1.01025003910065
"69","AUS","JPN","C02",1.0051496553421
"70","AUS","KOR","C02",1.03168304204941
"71","AUS","LTU","C02",1.00626337230206
"72","AUS","LUX","C02",1.00278260856867
"73","AUS","LVA","C02",1
"74","AUS","MEX","C02",1.00029177758843
"75","AUS","MLT","C02",1.00278260856867
"76","AUS","NLD","C02",1.00033098723739
"77","AUS","NOR","C02",1
"78","AUS","POL","C02",1.01330230951309
"79","AUS","PRT","C02",1
"80","AUS","ROU","C02",1.00278260856867
"81","AUS","ROW","C02",1.00582237761046
"82","AUS","RUS","C02",1.03257362604141
"83","AUS","SVK","C02",1.00278260856867
"84","AUS","SVN","C02",1.02
"85","AUS","SWE","C02",1.01305995106697
"86","AUS","TUR","C02",1.02563982725143
"87","AUS","TWN","C02",1.00140748247504
"88","AUS","USA","C02",1
"89","AUS","AUS","C03",1
"90","AUS","AUT","C03",1
"91","AUS","BEL","C03",1
"92","AUS","BGR","C03",1
"93","AUS","BRA","C03",1
"94","AUS","CAN","C03",1.00008280366659
"95","AUS","CHE","C03",1.00084459461272
"96","AUS","CHN","C03",1
"97","AUS","CYP","C03",1
"98","AUS","CZE","C03",1
"99","AUS","DEU","C03",1
"100","AUS","DNK","C03",1
"101","AUS","ESP","C03",1
"102","AUS","EST","C03",1.00039414413273
"103","AUS","FIN","C03",1
"104","AUS","FRA","C03",1
"105","AUS","GBR","C03",1
"106","AUS","GRC","C03",1
"107","AUS","HRV","C03",1
"108","AUS","HUN","C03",1
"109","AUS","IDN","C03",1
"110","AUS","IND","C03",1
"111","AUS","IRL","C03",1
"112","AUS","ITA","C03",1.00099091023207
"113","AUS","JPN","C03",1.02162978887558
"114","AUS","KOR","C03",1
"115","AUS","LTU","C03",1.00039414413273
"116","AUS","LUX","C03",1.00039414413273
"117","AUS","LVA","C03",1
"118","AUS","MEX","C03",1
"119","AUS","MLT","C03",1.00039414413273
"120","AUS","NLD","C03",1
"121","AUS","NOR","C03",1.00016735959798
"122","AUS","POL","C03",1
"123","AUS","PRT","C03",1
"124","AUS","ROU","C03",1
"125","AUS","ROW","C03",1
"126","AUS","RUS","C03",1.01695566654205
"127","AUS","SVK","C03",1.00039414413273
"128","AUS","SVN","C03",1
"129","AUS","SWE","C03",1
"130","AUS","TUR","C03",1
"131","AUS","TWN","C03",1
"132","AUS","USA","C03",1
"133","AUS","AUS","C04",1
"134","AUS","AUT","C04",1.03760997056961
"135","AUS","BEL","C04",1.00041270181537
"136","AUS","BGR","C04",1
"137","AUS","BRA","C04",1
