"","country","value"
"1","AUS",-1571.99070908518
"2","AUT",15779.8705055679
"3","BEL",26217.747563839
"4","BGR",-2888.02433520704
"5","BRA",-45539.5755883225
"6","CAN",19729.6394205676
"7","CHE",87922.9816855855
"8","CHN",591786.424911121
"9","CYP",-1631.26506276818
"10","CZE",18651.8367366665
"11","DEU",389859.999152956
"12","DNK",28236.2666917239
"13","ESP",6089.85399295089
"14","EST",480.8870237172
"15","FIN",2750.10778437059
"16","FRA",-18284.0438852312
"17","GBR",-18026.2977416525
"18","GRC",-16430.3803265103
"19","HRV",225.73480578482
"20","HUN",10917.2299058221
"21","IDN",8429.55553802542
"22","IND",2007.69757217113
"23","IRL",56230.6758219427
"24","ITA",65992.6707696906
"25","JPN",-76634.5211799678
"26","KOR",131108.764193007
"27","LTU",4726.41955686842
"28","LUX",15956.9870538564
"29","LVA",-809.653225527332
"30","MEX",8464.66680920782
"31","MLT",-203.409270592034
"32","NLD",122440.871774187
"33","NOR",65092.1388480768
"34","POL",18752.1276286114
"35","PRT",-6832.30773865126
"36","ROU",417.037209488412
"37","ROW",-1282049.61328121
"38","RUS",115222.356441506
"39","SVK",6822.65250166967
"40","SVN",3662.30619162315
"41","SWE",30460.9646464904
"42","TUR",18616.1260262124
"43","TWN",75806.9846849326
"44","USA",-477958.501103769
