"","country","value"
"1","AUS",-1262.13346648194
"2","AUT",17825.4470981906
"3","BEL",26065.4878950119
"4","BGR",-2678.96934017838
"5","BRA",-27356.3011946577
"6","CAN",23756.3464228561
"7","CHE",89251.1694534503
"8","CHN",779289.099197698
"9","CYP",-1615.68919723368
"10","CZE",19663.569594872
"11","DEU",360327.67484548
"12","DNK",28450.4196604449
"13","ESP",9191.83483935145
"14","EST",810.463062500272
"15","FIN",4928.49965208433
"16","FRA",-3989.61615390979
"17","GBR",933.879616767107
"18","GRC",-17821.3651912337
"19","HRV",-167.065705161965
"20","HUN",11718.5977240354
"21","IDN",24502.583290864
"22","IND",56419.7480732672
"23","IRL",53954.6180811586
"24","ITA",62259.4166402665
"25","JPN",-94079.9417363815
"26","KOR",135910.83552936
"27","LTU",1700.3284286537
"28","LUX",16188.3982225048
"29","LVA",-684.978256599672
"30","MEX",13456.8080019099
"31","MLT",-466.300173513018
"32","NLD",123107.887793155
"33","NOR",86228.9385249047
"34","POL",22303.2001850308
"35","PRT",-6019.48770113214
"36","ROU",2346.86047656073
"37","ROW",-90105.7807008894
"38","RUS",124192.511184234
"39","SVK",4587.97748517891
"40","SVN",1936.61891833127
"41","SWE",32892.8537955302
"42","TUR",20182.9581444783
"43","TWN",77375.2475984667
"44","USA",-474252.481659093
